Negative,Neutral,Positive,accuracy,macro avg,weighted avg
0.0,0.0,0.831,0.831,0.27699999999999997,0.690561
0.0,0.0,1.0,0.831,0.3333333333333333,0.831
0.0,0.0,0.9077007099945384,0.831,0.3025669033315128,0.7542992900054615
201.0,306.0,2493.0,0.831,3000.0,3000.0
